"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2024","41.37","41.57","41.59","41.34","","-0.48%"
"05/08/2024","41.57","41.52","41.60","41.52","","0.10%"
"05/07/2024","41.52","41.19","41.54","41.13","","0.46%"
"05/06/2024","41.33","41.22","41.45","41.17","","0.78%"
"05/03/2024","41.01","41.00","41.06","40.99","","0.03%"
"05/02/2024","41.00","41.07","41.07","40.93","","-0.43%"
"05/01/2024","41.17","40.97","41.22","40.97","","0.31%"
"04/30/2024","41.04","40.99","41.23","40.96","","0.12%"
"04/29/2024","40.99","40.85","41.10","40.84","","0.40%"
"04/26/2024","40.83","40.98","40.98","40.83","","-0.39%"
"04/25/2024","40.99","41.13","41.13","40.96","","-0.24%"
"04/24/2024","41.09","41.47","41.48","41.11","","-0.85%"
"04/23/2024","41.45","41.47","41.48","41.46","","-0.02%"
"04/22/2024","41.46","41.64","41.73","41.47","","-0.28%"
"04/19/2024","41.57","41.65","41.76","41.63","","-0.02%"
"04/18/2024","41.58","41.67","41.74","41.58","","0.00%"
"04/17/2024","41.58","41.46","41.73","41.44","","0.41%"
"04/16/2024","41.41","41.30","41.49","41.28","","0.28%"
"04/15/2024","41.29","41.24","41.36","41.23","","0.16%"
"04/12/2024","41.23","41.25","41.25","41.24","","0.00%"
"04/11/2024","41.23","41.25","41.25","41.24","","-0.04%"
"04/10/2024","41.25","41.29","41.32","41.25","","-0.07%"
"04/09/2024","41.28","41.32","41.33","41.26","","-0.11%"
"04/08/2024","41.32","41.40","41.40","41.30","","-0.09%"
"04/05/2024","41.36","41.40","41.40","41.35","","-0.15%"
"04/04/2024","41.42","41.45","41.45","41.43","","-0.03%"
"04/03/2024","41.43","41.47","41.47","41.43","","-0.04%"
"04/02/2024","41.45","41.49","41.50","41.43","","-0.09%"
"04/01/2024","41.49","41.58","41.58","41.48","","-0.22%"
"03/29/2024","41.58","41.57","41.61","41.56","","0.08%"
"03/28/2024","41.55","41.64","41.66","41.53","","-0.17%"
"03/27/2024","41.62","41.82","41.82","41.62","","-0.45%"
"03/26/2024","41.81","41.98","41.99","41.80","","-0.36%"
"03/25/2024","41.96","42.08","42.15","41.94","","0.04%"
"03/22/2024","41.94","42.21","42.21","41.95","","-0.63%"
"03/21/2024","42.20","42.26","42.27","42.19","","-0.07%"
"03/20/2024","42.23","42.22","42.32","42.21","","0.07%"
"03/19/2024","42.20","42.31","42.31","42.20","","-0.20%"
"03/18/2024","42.29","42.40","42.41","42.29","","-0.27%"
"03/15/2024","42.40","42.46","42.47","42.39","","-0.14%"
"03/14/2024","42.46","42.57","42.58","42.42","","-0.26%"
"03/13/2024","42.57","42.69","42.73","42.53","","-0.21%"
"03/12/2024","42.66","42.76","42.78","42.68","","-0.13%"
"03/11/2024","42.72","42.75","42.76","42.69","","-0.08%"
"03/08/2024","42.75","42.74","42.78","42.72","","0.09%"
"03/07/2024","42.71","42.77","42.78","42.68","","-0.04%"
"03/06/2024","42.73","42.79","42.79","42.73","","-0.12%"
"03/05/2024","42.78","42.78","42.82","42.74","","0.06%"
"03/04/2024","42.75","42.91","42.92","42.76","","-0.31%"
"03/01/2024","42.89","43.04","43.04","42.89","","-0.37%"
"02/29/2024","43.05","43.09","43.11","43.02","","-0.04%"
"02/28/2024","43.07","43.12","43.21","43.03","","-0.08%"
"02/27/2024","43.10","43.18","43.21","43.12","","-0.15%"
"02/26/2024","43.16","43.19","43.21","43.12","","-0.02%"
"02/23/2024","43.17","43.20","43.23","43.17","","-0.02%"
"02/22/2024","43.18","43.31","43.33","43.17","","-0.25%"
"02/21/2024","43.29","43.33","43.43","43.30","","-0.12%"
"02/20/2024","43.35","43.37","43.39","43.32","","-0.02%"
"02/19/2024","43.35","43.42","43.44","43.35","","-0.09%"
"02/16/2024","43.40","43.48","43.48","43.39","","-0.16%"
"02/15/2024","43.47","43.52","43.57","43.46","","-0.13%"
"02/14/2024","43.52","43.52","43.54","43.51","","0.03%"
"02/13/2024","43.51","43.57","43.63","43.50","","-0.08%"
"02/12/2024","43.54","43.50","43.61","43.48","","0.21%"
"02/09/2024","43.45","43.51","43.55","43.45","","0.00%"
"02/08/2024","43.46","43.53","43.60","43.48","","-0.02%"
"02/07/2024","43.46","43.64","43.68","43.46","","-0.29%"
"02/06/2024","43.59","43.44","43.68","43.36","","0.45%"
"02/05/2024","43.40","43.32","43.45","43.31","","0.21%"
"02/02/2024","43.31","43.64","43.65","43.21","","-0.72%"
"02/01/2024","43.62","44.00","44.01","43.59","","-0.96%"
"01/31/2024","44.04","44.15","44.16","43.98","","-0.22%"
"01/30/2024","44.14","44.28","44.30","44.14","","-0.19%"
"01/29/2024","44.22","44.24","44.30","44.20","","0.00%"
"01/26/2024","44.23","44.36","44.36","44.16","","-0.27%"
"01/25/2024","44.35","44.49","44.49","44.37","","-0.23%"
"01/24/2024","44.45","44.61","44.63","44.36","","-0.25%"
"01/23/2024","44.56","44.49","44.66","44.48","","0.23%"
"01/22/2024","44.46","44.52","44.54","44.43","","-0.09%"
"01/19/2024","44.50","44.60","44.61","44.51","","-0.09%"
"01/18/2024","44.54","44.63","44.66","44.52","","-0.09%"
"01/17/2024","44.58","44.70","44.72","44.59","","-0.25%"
"01/16/2024","44.69","44.87","44.89","44.68","","-0.46%"
"01/15/2024","44.90","44.87","44.95","44.87","","-0.04%"
"01/12/2024","44.92","45.02","45.06","44.93","","-0.14%"
