"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2024","372.135","375.155","375.223","372.135","","-0.81%"
"05/08/2024","375.155","375.992","375.992","375.155","","-0.22%"
"05/07/2024","375.992","373.452","375.992","373.131","","0.68%"
"05/06/2024","373.452","372.191","373.452","372.169","","0.10%"
"05/03/2024","373.083","371.775","373.083","371.721","","0.28%"
"05/02/2024","372.045","372.500","373.125","370.389","","-0.07%"
"05/01/2024","372.306","371.637","373.408","370.834","","0.27%"
"04/30/2024","371.295","372.685","374.603","371.548","","-0.31%"
"04/29/2024","372.434","369.703","373.167","369.347","","0.78%"
"04/26/2024","369.550","371.656","371.716","368.430","","-0.49%"
"04/25/2024","371.386","371.427","372.118","369.757","","0.10%"
"04/24/2024","371.026","374.060","374.541","370.080","","-0.75%"
"04/23/2024","373.813","371.040","374.361","370.470","","0.80%"
"04/22/2024","370.840","373.046","374.246","369.493","","-0.41%"
"04/19/2024","372.367","374.961","376.422","372.820","","-0.51%"
"04/18/2024","374.294","375.473","376.987","374.825","","-0.13%"
"04/17/2024","374.775","372.795","376.745","372.660","","0.64%"
"04/16/2024","372.409","372.135","374.190","371.029","","0.12%"
"04/15/2024","371.981","371.615","373.750","371.287","","0.14%"
"04/12/2024","371.448","374.659","374.853","370.824","","-0.81%"
"04/11/2024","374.492","374.257","375.451","373.361","","0.10%"
"04/10/2024","374.134","378.612","379.315","373.629","","-1.14%"
"04/09/2024","378.442","378.258","379.582","377.576","","0.10%"
"04/08/2024","378.072","378.192","378.572","376.954","","0.00%"
"04/05/2024","378.069","378.911","379.121","376.247","","-0.18%"
"04/04/2024","378.758","379.322","380.155","378.641","","-0.12%"
"04/03/2024","379.214","377.277","379.457","376.642","","0.55%"
"04/02/2024","377.121","376.608","377.337","375.917","","0.16%"
"04/01/2024","376.500","379.435","379.826","376.203","","-0.67%"
"03/29/2024","379.039","379.195","379.915","378.775","","0.00%"
"03/28/2024","379.039","380.337","380.413","377.913","","-0.29%"
"03/27/2024","380.151","381.240","381.405","379.254","","-0.23%"
"03/26/2024","381.023","382.489","382.822","381.028","","-0.34%"
"03/25/2024","382.305","382.143","382.974","381.109","","0.06%"
"03/22/2024","382.062","384.661","385.254","381.400","","-0.65%"
"03/21/2024","384.553","388.823","389.370","384.403","","-1.07%"
"03/20/2024","388.698","386.607","388.914","385.690","","0.57%"
"03/19/2024","386.497","387.660","387.752","384.871","","-0.24%"
"03/18/2024","387.410","388.643","388.841","387.280","","-0.34%"
"03/15/2024","388.731","389.636","389.804","388.349","","-0.21%"
"03/14/2024","389.543","391.746","391.960","388.903","","-0.51%"
"03/13/2024","391.527","392.138","392.777","390.909","","-0.10%"
"03/12/2024","391.916","393.326","393.633","390.667","","-0.33%"
"03/11/2024","393.200","395.391","395.467","392.711","","-0.46%"
"03/08/2024","395.031","393.624","396.328","393.408","","0.40%"
"03/07/2024","393.464","392.135","393.776","391.132","","0.49%"
"03/06/2024","391.544","391.329","392.781","390.544","","0.11%"
"03/05/2024","391.125","390.850","392.269","389.951","","0.13%"
"03/04/2024","390.598","390.849","391.343","389.800","","0.02%"
"03/01/2024","390.506","390.870","391.241","389.089","","-0.05%"
"02/29/2024","390.682","392.648","392.927","390.437","","-0.46%"
"02/28/2024","392.491","393.711","394.100","391.392","","-0.25%"
"02/27/2024","393.490","394.219","394.703","392.935","","-0.14%"
"02/26/2024","394.030","393.659","394.747","393.076","","0.09%"
"02/23/2024","393.688","393.457","394.793","393.084","","0.09%"
"02/22/2024","393.315","393.547","395.202","391.935","","0.00%"
"02/21/2024","393.296","393.633","394.053","392.410","","-0.03%"
"02/20/2024","393.429","393.028","395.114","392.292","","0.10%"
"02/19/2024","393.028","393.671","394.689","392.747","","-0.07%"
"02/16/2024","393.310","394.128","394.392","392.000","","-0.18%"
"02/15/2024","394.002","393.442","394.237","392.283","","0.15%"
"02/14/2024","393.410","394.350","394.960","392.345","","-0.17%"
"02/13/2024","394.067","395.793","397.231","393.692","","-0.39%"
"02/12/2024","395.603","394.910","396.405","394.816","","0.23%"
"02/09/2024","394.689","395.069","395.823","394.065","","0.03%"
"02/08/2024","394.565","395.194","396.328","393.472","","-0.07%"
"02/07/2024","394.847","395.263","395.934","393.703","","-0.02%"
"02/06/2024","394.916","391.828","395.466","391.342","","0.87%"
"02/05/2024","391.500","393.834","394.957","391.219","","-0.49%"
"02/02/2024","393.425","399.190","399.615","393.211","","-1.42%"
"02/01/2024","399.079","400.735","401.129","395.384","","-0.35%"
"01/31/2024","400.465","402.495","402.772","399.771","","-0.45%"
"01/30/2024","402.273","403.924","404.337","400.593","","-0.32%"
"01/29/2024","403.574","403.273","404.560","402.366","","0.07%"
"01/26/2024","403.289","404.496","405.242","402.400","","-0.20%"
"01/25/2024","404.114","404.989","405.578","403.557","","-0.13%"
"01/24/2024","404.623","405.841","406.596","404.051","","-0.16%"
"01/23/2024","405.284","406.625","407.888","404.547","","-0.28%"
"01/22/2024","406.434","406.461","407.424","405.780","","-0.02%"
"01/19/2024","406.527","407.672","407.993","405.436","","-0.16%"
"01/18/2024","407.195","406.789","408.038","405.779","","0.17%"
"01/17/2024","406.518","406.182","407.606","404.457","","0.10%"
"01/16/2024","406.121","410.194","410.354","405.700","","-0.88%"
"01/15/2024","409.745","410.709","411.289","409.517","","-0.20%"
"01/12/2024","410.582","411.605","412.477","409.711","","-0.23%"
"01/11/2024","411.510","411.408","412.376","409.348","","0.09%"
"01/10/2024","411.151","409.897","411.536","408.933","","0.36%"
"01/09/2024","409.674","411.027","411.624","409.204","","-0.24%"
"01/08/2024","410.676","410.379","411.689","408.418","","0.14%"
"01/05/2024","410.091","409.249","412.025","406.798","","0.29%"
"01/04/2024","408.898","408.763","410.590","408.002","","0.13%"
"01/03/2024","408.350","405.920","409.182","405.828","","0.67%"
"01/02/2024","405.637","411.163","411.389","405.711","","-1.22%"
"01/01/2024","410.635","412.484","412.517","410.586","","-0.37%"
"12/29/2023","412.165","412.293","413.781","411.257","","-0.01%"
"12/28/2023","412.197","414.688","415.660","411.646","","-0.49%"
"12/27/2023","414.238","413.876","414.850","410.923","","0.06%"
"12/26/2023","413.977","413.030","414.299","412.705","","0.29%"
"12/25/2023","412.773","413.551","414.153","412.689","","-0.09%"
"12/22/2023","413.131","413.882","414.754","412.592","","-0.17%"
