"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2024","3.5793","3.5982","3.6004","3.5772","","-0.52%"
"05/08/2024","3.5982","3.5911","3.5988","3.5904","","0.20%"
"05/07/2024","3.5911","3.5575","3.5926","3.5547","","0.94%"
"05/06/2024","3.5576","3.5586","3.5586","3.5520","","-0.11%"
"05/03/2024","3.5617","3.5603","3.5669","3.5589","","0.16%"
"05/02/2024","3.5561","3.5659","3.5668","3.5508","","-0.13%"
"05/01/2024","3.5608","3.5640","3.5652","3.5615","","-0.01%"
"04/30/2024","3.5612","3.5550","3.5777","3.5542","","0.22%"
"04/29/2024","3.5535","3.5495","3.5661","3.5477","","0.17%"
"04/26/2024","3.5476","3.5650","3.5650","3.5479","","-0.41%"
"04/25/2024","3.5622","3.5758","3.5771","3.5605","","-0.31%"
"04/24/2024","3.5731","3.6077","3.6082","3.5738","","-0.86%"
"04/23/2024","3.6040","3.6032","3.6086","3.6022","","0.07%"
"04/22/2024","3.6016","3.6142","3.6277","3.6020","","-0.19%"
"04/19/2024","3.6086","3.6088","3.6225","3.6012","","0.17%"
"04/18/2024","3.6026","3.6069","3.6168","3.6026","","0.15%"
"04/17/2024","3.5973","3.5854","3.6119","3.5849","","0.44%"
"04/16/2024","3.5816","3.5794","3.5937","3.5766","","0.10%"
"04/15/2024","3.5780","3.5751","3.5887","3.5746","","0.23%"
"04/12/2024","3.5698","3.5799","3.5821","3.5691","","-0.30%"
"04/11/2024","3.5804","3.5780","3.5830","3.5770","","0.07%"
"04/10/2024","3.5778","3.5880","3.5901","3.5774","","-0.29%"
"04/09/2024","3.5882","3.5895","3.5912","3.5854","","0.03%"
"04/08/2024","3.5870","3.5905","3.5950","3.5856","","-0.08%"
"04/05/2024","3.5898","3.5928","3.5952","3.5875","","-0.10%"
"04/04/2024","3.5934","3.5914","3.5957","3.5898","","0.12%"
"04/03/2024","3.5891","3.5976","3.5996","3.5868","","-0.20%"
"04/02/2024","3.5963","3.5989","3.6000","3.5939","","-0.01%"
"04/01/2024","3.5965","3.6044","3.6058","3.5965","","-0.14%"
"03/29/2024","3.6016","3.6023","3.6047","3.6019","","0.03%"
"03/28/2024","3.6004","3.6091","3.6113","3.5994","","-0.24%"
"03/27/2024","3.6089","3.6214","3.6238","3.6035","","-0.33%"
"03/26/2024","3.6209","3.6282","3.6323","3.6202","","-0.17%"
"03/25/2024","3.6272","3.6286","3.6296","3.6205","","0.00%"
"03/22/2024","3.6271","3.6512","3.6524","3.6222","","-0.65%"
"03/21/2024","3.6508","3.6587","3.6623","3.6511","","-0.07%"
"03/20/2024","3.6532","3.6591","3.6683","3.6536","","-0.13%"
"03/19/2024","3.6581","3.6718","3.6734","3.6581","","-0.32%"
"03/18/2024","3.6697","3.6823","3.6848","3.6713","","-0.32%"
"03/15/2024","3.6813","3.6815","3.6855","3.6776","","-0.02%"
"03/14/2024","3.6821","3.6953","3.6962","3.6812","","-0.31%"
"03/13/2024","3.6934","3.7027","3.7076","3.6909","","-0.21%"
"03/12/2024","3.7011","3.7094","3.7101","3.7006","","-0.20%"
"03/11/2024","3.7087","3.7141","3.7159","3.7073","","-0.08%"
"03/08/2024","3.7116","3.7159","3.7182","3.7133","","-0.07%"
"03/07/2024","3.7143","3.7159","3.7215","3.7104","","0.02%"
"03/06/2024","3.7136","3.7155","3.7176","3.7102","","-0.01%"
"03/05/2024","3.7141","3.7140","3.7176","3.7095","","0.05%"
"03/04/2024","3.7121","3.7278","3.7284","3.7123","","-0.37%"
"03/01/2024","3.7260","3.7334","3.7365","3.7243","","-0.17%"
"02/29/2024","3.7325","3.7402","3.7410","3.7327","","-0.13%"
"02/28/2024","3.7372","3.7432","3.7525","3.7350","","-0.10%"
"02/27/2024","3.7410","3.7490","3.7527","3.7436","","-0.18%"
"02/26/2024","3.7478","3.7503","3.7525","3.7439","","0.01%"
"02/23/2024","3.7473","3.7516","3.7516","3.7462","","-0.08%"
"02/22/2024","3.7503","3.7548","3.7555","3.7464","","-0.08%"
"02/21/2024","3.7533","3.7620","3.7647","3.7523","","-0.21%"
"02/20/2024","3.7612","3.7594","3.7654","3.7575","","0.07%"
"02/19/2024","3.7586","3.7638","3.7675","3.7580","","-0.05%"
"02/16/2024","3.7604","3.7691","3.7692","3.7585","","-0.19%"
"02/15/2024","3.7676","3.7710","3.7768","3.7652","","-0.07%"
"02/14/2024","3.7703","3.7682","3.7723","3.7657","","0.10%"
"02/13/2024","3.7664","3.7755","3.7806","3.7674","","-0.23%"
"02/12/2024","3.7750","3.7675","3.7802","3.7661","","0.24%"
"02/09/2024","3.7658","3.7718","3.7748","3.7664","","-0.07%"
"02/08/2024","3.7686","3.7719","3.7803","3.7702","","0.00%"
"02/07/2024","3.7687","3.7769","3.7789","3.7640","","-0.14%"
"02/06/2024","3.7738","3.7638","3.7813","3.7582","","0.31%"
"02/05/2024","3.7621","3.7555","3.7668","3.7543","","0.25%"
"02/02/2024","3.7526","3.7762","3.7817","3.7434","","-0.60%"
"02/01/2024","3.7754","3.8008","3.8052","3.7726","","-0.63%"
"01/31/2024","3.7992","3.8140","3.8140","3.8004","","-0.31%"
"01/30/2024","3.8109","3.8226","3.8235","3.8119","","-0.24%"
"01/29/2024","3.8199","3.8196","3.8268","3.8183","","0.01%"
"01/26/2024","3.8195","3.8265","3.8307","3.8147","","-0.07%"
"01/25/2024","3.8221","3.8279","3.8308","3.8261","","-0.07%"
